excel_id,session_id,turn_index,expected_action,depends_on_turn,turn_type,user_message,gold_sql
2709,TestMultiturn2,1,NO_SQL,,ns_saludo,"Hola, buenos días.",
2710,TestMultiturn2,2,EXECUTE_SQL,,seed_sql,Dime la cantidad de cuentas por pagar - commercial condition que se encuentran activos. Cuando puedas.,"SELECT COUNT(*) FROM ""account_payable"".""commercial_condition"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' LIMIT 100;"
2711,TestMultiturn2,3,CLARIFY,,cl_eso,¿Y eso cómo va?,
2712,TestMultiturn2,4,EXECUTE_SQL,2,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT COUNT(*) FROM ""account_payable"".""commercial_condition"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' LIMIT 5;"
2713,TestMultiturn2,5,NO_SQL,2,ns_explica,¿Me puedes explicar qué significa ese dato?,
2714,TestMultiturn2,6,EXECUTE_SQL,,switch_sql,"Ahora, cambiando de tema: ¿Cuántos movimientos de inventario tengo por cada sucursal? Muéstrame el nombre del sucursal. Cuando puedas.","SELECT r.name AS sucursal, COUNT(*) AS registros FROM ""inventory"".""movement"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY r.name ORDER BY registros DESC LIMIT 100;"
2715,TestMultiturn2,7,EXECUTE_SQL,6,ctx_orden,Ordena ese resultado de mayor a menor.,"SELECT r.name AS sucursal, COUNT(*) AS registros FROM ""inventory"".""movement"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY r.name ORDER BY registros DESC ORDER BY registros DESC LIMIT 100;"
2716,TestMultiturn2,8,EXECUTE_SQL,6,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT r.name AS sucursal, COUNT(*) AS registros FROM ""inventory"".""movement"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY r.name ORDER BY registros DESC ) AS sub;"
2717,TestMultiturn2,9,CLARIFY,,cl_siempre,Muéstrame lo de siempre.,
2718,TestMultiturn2,10,EXECUTE_SQL,6,ctx_max,"De ese resultado, ¿cuál tiene el valor más alto?","SELECT r.name AS sucursal, COUNT(*) AS registros FROM ""inventory"".""movement"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY r.name ORDER BY registros DESC ORDER BY registros DESC LIMIT 1;"
2719,TestMultiturn3,1,EXECUTE_SQL,,seed_sql,¿Cuántos transporte - vehicle driver hay por cada valor de la columna member_vehicle_id? Cuando puedas.,"SELECT t.member_vehicle_id AS member_vehicle_id, COUNT(*) AS registros FROM ""national_transport"".""vehicle_driver"" AS t WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY t.member_vehicle_id ORDER BY registros DESC LIMIT 100;"
2720,TestMultiturn3,2,NO_SQL,,ns_ok,"Perfecto, entendido.",
2721,TestMultiturn3,3,EXECUTE_SQL,1,ctx_max,"De ese resultado, ¿cuál tiene el valor más alto?","SELECT t.member_vehicle_id AS member_vehicle_id, COUNT(*) AS registros FROM ""national_transport"".""vehicle_driver"" AS t WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY t.member_vehicle_id ORDER BY registros DESC ORDER BY registros DESC LIMIT 1;"
2722,TestMultiturn3,4,EXECUTE_SQL,,switch_sql,"Ahora, cambiando de tema: regálame los nombres de los diferentes centro de costo que se han usado en los facturas de compra. Por favor.","SELECT DISTINCT r.name AS centro_de_costo FROM ""account_payable"".""invoice"" AS t JOIN ""core"".""cost_center"" AS r ON t.cost_center_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' LIMIT 100;"
2723,TestMultiturn3,5,EXECUTE_SQL,4,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT DISTINCT r.name AS centro_de_costo FROM ""account_payable"".""invoice"" AS t JOIN ""core"".""cost_center"" AS r ON t.cost_center_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' ) AS sub;"
2724,TestMultiturn3,6,CLARIFY,,cl_vago,Dame los datos.,
2725,TestMultiturn4,1,EXECUTE_SQL,,seed_sql,Regálame los nombres de los diferentes ruta que se han usado en los precios de flete. Por favor.,"SELECT DISTINCT r.name AS ruta FROM ""national_transport"".""freight_prices"" AS t JOIN ""national_transport"".""route"" AS r ON t.route_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' LIMIT 100;"
2726,TestMultiturn4,2,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT DISTINCT r.name AS ruta FROM ""national_transport"".""freight_prices"" AS t JOIN ""national_transport"".""route"" AS r ON t.route_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' ) AS sub;"
2727,TestMultiturn4,3,NO_SQL,,ns_saludo,"Hola, buenas, ¿cómo vas?",
2728,TestMultiturn4,4,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT DISTINCT r.name AS ruta FROM ""national_transport"".""freight_prices"" AS t JOIN ""national_transport"".""route"" AS r ON t.route_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' LIMIT 5;"
2729,TestMultiturn4,5,NO_SQL,,ns_capacidad,¿Qué otras cosas puedes consultar de mi empresa?,
2730,TestMultiturn4,6,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT DISTINCT r.name AS ruta FROM ""national_transport"".""freight_prices"" AS t JOIN ""national_transport"".""route"" AS r ON t.route_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' LIMIT 5;"
2731,TestMultiturn4,7,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT DISTINCT r.name AS ruta FROM ""national_transport"".""freight_prices"" AS t JOIN ""national_transport"".""route"" AS r ON t.route_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' ) AS sub;"
2732,TestMultiturn4,8,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT DISTINCT r.name AS ruta FROM ""national_transport"".""freight_prices"" AS t JOIN ""national_transport"".""route"" AS r ON t.route_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' LIMIT 5;"
2733,TestMultiturn4,9,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT DISTINCT r.name AS ruta FROM ""national_transport"".""freight_prices"" AS t JOIN ""national_transport"".""route"" AS r ON t.route_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' ) AS sub;"
2734,TestMultiturn4,10,NO_SQL,1,ns_explica,¿Me puedes explicar qué significa ese dato?,
2735,TestMultiturn5,1,NO_SQL,,ns_saludo,"Hola, buenos días.",
2736,TestMultiturn5,2,EXECUTE_SQL,,seed_sql,Dime la cantidad de treasury - member payment gateway que se encuentran activos. Cuando puedas.,"SELECT COUNT(*) FROM ""treasury"".""member_payment_gateway"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' LIMIT 100;"
2737,TestMultiturn5,3,EXECUTE_SQL,2,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT COUNT(*) FROM ""treasury"".""member_payment_gateway"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' ) AS sub;"
2738,TestMultiturn5,4,EXECUTE_SQL,2,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT COUNT(*) FROM ""treasury"".""member_payment_gateway"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' LIMIT 5;"
2739,TestMultiturn5,5,EXECUTE_SQL,2,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT COUNT(*) FROM ""treasury"".""member_payment_gateway"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' ) AS sub;"
2740,TestMultiturn5,6,NO_SQL,,ns_identidad,¿Y tú quién eres exactamente?,
2741,TestMultiturn5,7,CLARIFY,,cl_comparar,Compáralo.,
2742,TestMultiturn5,8,NO_SQL,,ns_ok,"Perfecto, entendido.",
2743,TestMultiturn5,9,EXECUTE_SQL,2,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT COUNT(*) FROM ""treasury"".""member_payment_gateway"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' LIMIT 5;"
2744,TestMultiturn5,10,EXECUTE_SQL,2,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT COUNT(*) FROM ""treasury"".""member_payment_gateway"" WHERE member_id = $1 AND is_active = TRUE AND audit_status <> 'D' LIMIT 5;"
2745,TestMultiturn6,1,EXECUTE_SQL,,seed_sql,Dame el listado de nombres de crm - segment. Por favor.,"SELECT name FROM ""crm"".""segment"" WHERE member_id = $1 AND audit_status <> 'D' LIMIT 100;"
2746,TestMultiturn6,2,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT name FROM ""crm"".""segment"" WHERE member_id = $1 AND audit_status <> 'D' LIMIT 5;"
2747,TestMultiturn6,3,CLARIFY,,cl_vago,Dame los datos.,
2748,TestMultiturn6,4,NO_SQL,,ns_ok,"Perfecto, entendido.",
2749,TestMultiturn6,5,NO_SQL,,ns_saludo,"Hola, buenas, ¿cómo vas?",
2750,TestMultiturn6,6,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT name FROM ""crm"".""segment"" WHERE member_id = $1 AND audit_status <> 'D' ) AS sub;"
2751,TestMultiturn7,1,EXECUTE_SQL,,seed_sql,"Indícame los últimos 2 core - operation que se han creado, solo requiero el nombre y la fecha de creación. Gracias.","SELECT name, created_at FROM ""core"".""operation"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 2;"
2752,TestMultiturn7,2,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT name, created_at FROM ""core"".""operation"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 5;"
2753,TestMultiturn7,3,CLARIFY,,cl_eso,¿Y eso cómo va?,
2754,TestMultiturn7,4,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT name, created_at FROM ""core"".""operation"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC ) AS sub;"
2755,TestMultiturn7,5,NO_SQL,,ns_identidad,¿Y tú quién eres exactamente?,
2756,TestMultiturn7,6,EXECUTE_SQL,1,ctx_top5,"De ese resultado, muéstrame solo los primeros 5.","SELECT name, created_at FROM ""core"".""operation"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC LIMIT 5;"
2757,TestMultiturn7,7,CLARIFY,,cl_otro,"Y lo otro también, porfa.",
2758,TestMultiturn7,8,NO_SQL,,ns_saludo,"Hola, buenas, ¿cómo vas?",
2759,TestMultiturn7,9,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT name, created_at FROM ""core"".""operation"" WHERE member_id = $1 AND audit_status <> 'D' ORDER BY created_at DESC ) AS sub;"
2760,TestMultiturn7,10,NO_SQL,1,ns_explica,¿Me puedes explicar qué significa ese dato?,
2761,TestMultiturn8,1,EXECUTE_SQL,,seed_sql,¿Cuál es el promedio del campo quantity por authorization_service_id en health - medical record procedure? Es urgente.,"SELECT t.authorization_service_id AS authorization_service_id, AVG(t.quantity) AS promedio_quantity FROM ""health"".""medical_record_procedure"" AS t WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY t.authorization_service_id ORDER BY promedio_quantity DESC LIMIT 100;"
2762,TestMultiturn8,2,CLARIFY,,cl_vago,Dame los datos.,
2763,TestMultiturn8,3,NO_SQL,,ns_saludo,"Hola, buenas, ¿cómo vas?",
2764,TestMultiturn8,4,NO_SQL,,ns_ok,"Perfecto, entendido.",
2765,TestMultiturn8,5,NO_SQL,,ns_opinion,¿Ese número te parece normal para un negocio como el mío?,
2766,TestMultiturn8,6,EXECUTE_SQL,1,ctx_total,¿Cuántos registros dio ese resultado en total?,"SELECT COUNT(*) AS total_registros FROM ( SELECT t.authorization_service_id AS authorization_service_id, AVG(t.quantity) AS promedio_quantity FROM ""health"".""medical_record_procedure"" AS t WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY t.authorization_service_id ORDER BY promedio_quantity DESC ) AS sub;"
2767,TestMultiturn8,7,EXECUTE_SQL,,switch_sql,"Ahora, cambiando de tema: para mi empresa, quiero ver por cada amortizacion la suma del valor amortizado y cuántos registros hay en accounting - amortization detail. Es urgente.","SELECT t.amortization_id AS amortization_id, SUM(t.amortized_value) AS total_amortized_value, COUNT(*) AS registros FROM ""accounting"".""amortization_detail"" AS t WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY t.amortization_id ORDER BY total_amortized_value DESC LIMIT 100;"
2768,TestMultiturn8,8,EXECUTE_SQL,7,ctx_max,"De ese resultado, ¿cuál tiene el valor más alto?","SELECT t.amortization_id AS amortization_id, SUM(t.amortized_value) AS total_amortized_value, COUNT(*) AS registros FROM ""accounting"".""amortization_detail"" AS t WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY t.amortization_id ORDER BY total_amortized_value DESC ORDER BY total_amortized_value DESC LIMIT 1;"
2769,TestMultiturn8,9,EXECUTE_SQL,7,ctx_promedio,"Y en vez de la suma, dame el promedio.","SELECT t.amortization_id AS amortization_id, AVG(t.amortized_value) AS total_amortized_value, COUNT(*) AS registros FROM ""accounting"".""amortization_detail"" AS t WHERE t.member_id = $1 AND t.audit_status <> 'D' GROUP BY t.amortization_id ORDER BY total_amortized_value DESC LIMIT 100;"
2770,TestMultiturn9,1,EXECUTE_SQL,,seed_sql,"Dame el total del valor total de los treasury - bank note cuyo sucursal contiene 'TRANSPORTE' en el nombre, agrupado por sucursal. Es urgente.","SELECT r.name AS sucursal, SUM(t.total_value) AS total_total_value, COUNT(*) AS registros FROM ""treasury"".""bank_note"" AS t JOIN ""core"".""branch_office"" AS r ON t.branch_office_id = r.id WHERE t.member_id = $1 AND t.audit_status <> 'D' AND r.name ILIKE '%TRANSPORTE%' GROUP BY r.id, r.name ORDER BY total_total_value DESC LIMIT 100;"
2771,TestMultiturn9,2,NO_SQL,,ns_capacidad,¿Qué otras cosas puedes consultar de mi empresa?,
